City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
337,San Policarpo,PH,78.51,overcast clouds,12.1791,125.5072,JM Lodge
340,Nyaunglebin,MM,74.88,broken clouds,17.95,96.7333,Royal Motel
341,Oriximina,BR,78.76,few clouds,-1.7656,-55.8661,Pousada Tia Amélia
345,Wenling,CN,70.92,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
349,Antigonish,CA,78.15,scattered clouds,45.6169,-61.9986,Claymore Inn and Suites
351,Ponazyrevo,RU,71.01,broken clouds,58.3578,46.3142,"Ovsyanitsa, Motel'"
357,Hobyo,SO,76.78,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
360,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
364,Galesong,ID,73.42,overcast clouds,-5.3166,119.3661,Sapriadi Appy
369,Playas,EC,73.99,overcast clouds,-2.6333,-80.3833,Hostal Promenade
374,Puerto Carreno,CO,86.9,broken clouds,6.189,-67.4859,Casa Hotel Victoria
375,Puerto Baquerizo Moreno,EC,73.45,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
376,Sao Geraldo Do Araguaia,BR,81.41,scattered clouds,-6.4006,-48.555,SOLAR DO BARROSO
377,Poum,NC,72.19,overcast clouds,-20.2333,164.0167,Gîte kajeon
379,Cururupu,BR,75.45,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
382,Novyy Svit,UA,71.98,moderate rain,47.8059,38.0211,Энергетик
384,Ellsworth,US,84.29,few clouds,44.5434,-68.4195,Hampton Inn Ellsworth/Bar Harbor
386,Coelho Neto,BR,80.51,clear sky,-4.2567,-43.0128,Hotel Tejof
388,Guatire,VE,84.74,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
389,Moerai,PF,75.04,scattered clouds,-22.4333,-151.3333,Le Manotel
392,Kyabe,TD,80.56,light rain,9.4515,18.9449,
395,Lagoa Nova,BR,73.54,broken clouds,-6.1,-36.4833,Chalés dos Cajueiros
396,Kiunga,PG,71.51,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
398,Xacmaz,AZ,72.75,clear sky,41.4635,48.806,SAHİL HOTEL
399,Sola,VU,80.24,broken clouds,-13.8833,167.55,Leumerus Bungalows
401,Goderich,CA,82.04,overcast clouds,43.7501,-81.7165,Harmony Inn
403,Wanning,CN,81.91,scattered clouds,18.8003,110.3967,Paradise Hotel
404,Mushie,CD,79.25,clear sky,-3.0167,16.9,
406,Kuching,MY,75.42,few clouds,1.55,110.3333,The Ranee Boutique Suites
408,Tomatlan,MX,86.85,overcast clouds,19.9333,-105.25,El Salvial
409,Meulaboh,ID,74.19,overcast clouds,4.1363,96.1285,Kost Pria
412,Shubarshi,KZ,74.64,few clouds,48.5872,57.1869,
413,Sao Bernardo,BR,80.1,broken clouds,-3.3614,-42.4178,Hotel Prado
