City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
149,Tibati,CM,2021-06-20 21:01:47,6.4667,12.6333,67.44,93,55,1.92,light rain
150,Cape Town,ZA,2021-06-20 20:58:44,-33.9258,18.4232,70.09,13,0,9.22,clear sky
151,Bethel,US,2021-06-20 21:01:48,41.3712,-73.414,87.4,66,70,4.76,broken clouds
152,East London,ZA,2021-06-20 21:01:48,-33.0153,27.9116,70.21,35,8,7.36,clear sky
153,Chuy,UY,2021-06-20 21:01:48,-33.6971,-53.4616,49.28,84,39,5.91,scattered clouds
154,Amiens,FR,2021-06-20 21:01:49,49.9,2.3,67.06,95,99,5.79,overcast clouds
155,Touros,BR,2021-06-20 21:01:49,-5.1989,-35.4608,77.9,77,65,10.6,broken clouds
156,Yeppoon,AU,2021-06-20 21:01:49,-23.1333,150.7333,44.38,80,0,5.3,clear sky
157,Sharjah,AE,2021-06-20 21:01:50,25.3573,55.4033,89.76,49,0,9.75,clear sky
158,Hamilton,US,2021-06-20 20:57:02,39.1834,-84.5333,89.2,65,90,1.01,overcast clouds
159,Razole,IN,2021-06-20 21:01:50,16.4833,81.8333,83.64,77,100,5.77,overcast clouds
160,Adrar,MR,2021-06-20 21:01:51,20.5022,-10.0711,93.6,12,73,13.49,broken clouds
161,Richards Bay,ZA,2021-06-20 21:01:51,-28.783,32.0377,64.58,74,0,10.58,clear sky
162,Haldibari,IN,2021-06-20 21:01:51,26.3333,88.7667,76.06,97,89,4.52,overcast clouds
163,Guerrero Negro,MX,2021-06-20 21:01:52,27.9769,-114.0611,74.64,58,10,11.7,clear sky
164,Lata,PT,2021-06-20 21:01:52,40.1629,-8.3327,61.92,86,100,6.51,overcast clouds
165,Rawson,AR,2021-06-20 21:01:53,-43.3002,-65.1023,47.75,53,21,10.65,few clouds
166,Saint George,US,2021-06-20 21:00:13,37.1041,-113.5841,111.67,10,6,8.01,clear sky
167,Ahipara,NZ,2021-06-20 21:01:53,-35.1667,173.1667,58.14,87,66,22.03,broken clouds
